courseId,courseName,courseCode,tournamentId,courseParTotal,courseYardsTotal,hole,par,yards,scoringAverage,scoringAverageDiff,scoringDiffTendency,eagles,birdies,pars,bogeys,doubleBogey,rank,pinGreenLeftToRightCoords,pinGreenBottomToTopCoords
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,9,4,442,4.237,0.237,ABOVE,0,35,289,128,8,2,"(0.4973958349105144, 0.2966166081269137, -1.0)","(0.2966166081269137, 0.5026041650894856, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,10,4,445,4.07,0.07,ABOVE,0,62,312,79,6,10,"(0.4084973917041016, 0.5062075878862365, -1.0)","(0.5062075878862365, 0.5915026082958984, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,11,5,575,4.763,-0.237,BELOW,5,160,239,51,5,17,"(0.3705755130039453, 0.636456827794167, -1.0)","(0.636456827794167, 0.6294244869960547, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,12,4,380,4.037,0.037,ABOVE,0,72,304,80,3,13,"(0.5660497680728617, 0.49034827457467495, -1.0)","(0.49034827457467495, 0.43395023192713833, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,13,3,200,3.154,0.154,ABOVE,0,56,296,95,8,5,"(0.6947592203358541, 0.6694338829658579, -1.0)","(0.6694338829658579, 0.30524077966414587, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,14,5,590,4.8,-0.2,BELOW,5,151,245,51,6,16,"(0.49883033710468794, 0.35403699756188217, -1.0)","(0.35403699756188217, 0.5011696628953121, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,15,3,215,3.03,0.03,ABOVE,0,60,326,74,0,14,"(0.47378329709432715, 0.7368086823055212, -1.0)","(0.7368086823055212, 0.5262167029056728, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,16,4,475,4.298,0.298,ABOVE,0,44,275,109,26,1,"(0.6460753937279844, 0.6835783340217239, -1.0)","(0.6835783340217239, 0.3539246062720156, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,17,3,215,3.048,0.048,ABOVE,2,55,325,75,3,11,"(0.6158648558076989, 0.3202786133483474, -1.0)","(0.3202786133483474, 0.3841351441923011, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,18,4,445,4.135,0.135,ABOVE,0,46,312,97,4,6,"(0.38981998630088516, 0.39323631877832216, -1.0)","(0.39323631877832216, 0.6101800136991149, -1.0)"
014,Augusta National Golf Club,AN,R2025014,72,7555.0,1,4,445,4.166,0.166,ABOVE,0,25,202,64,5,6,"(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)"
014,Augusta National Golf Club,AN,R2025014,72,7555.0,2,5,585,4.615,-0.385,BELOW,9,117,151,17,2,18,"(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)"
014,Augusta National Golf Club,AN,R2025014,72,7555.0,3,4,350,3.909,-0.091,BELOW,0,73,181,39,2,15,"(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)"
014,Augusta National Golf Club,AN,R2025014,72,7555.0,4,3,240,3.209,0.209,ABOVE,0,22,193,78,3,5,"(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)"
